feature,importance
Vote Average,24.516277827498946
Revenue,5.812399116239598
ROI,4.34645439653003
"Spoken Languages_['Tiếng Nhật', 'Tiếng Pháp', 'Tiếng Nga', 'Tiếng Anh', 'Tiếng Ả Rập']",3.129943835487726
"Spoken Languages_['Tiếng Pháp', 'Tiếng Anh', 'Latin']",3.107675101480129
"Production Countries_['Belgium', 'United States of America']",2.590153428678619
Vote Count,2.5381760540357514
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Tây Ban Nha', 'Tiếng Hàn']",2.5118905486037875
"Production Countries_['Belgium', 'Canada', 'Germany', 'United Kingdom']",2.5039132982522347
"Spoken Languages_['Hong Kong', 'Tiếng Trung', 'Tiếng Hàn', 'Tiếng Pháp', 'Tiếng Anh']",2.402724680045922
budget_vote_interaction,2.2987059890493473
Budget,2.244028804591091
"Spoken Languages_['Hong Kong', 'Tiếng Trung', 'Tiếng Tây Ban Nha']",2.204771889470761
"Production Countries_['Australia', 'Canada', 'United Kingdom', 'United States of America']",2.1419248286998736
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Anh', 'Tiếng Bồ Đào Nha']",2.1293583856066145
"Spoken Languages_['Hong Kong', 'Tiếng Anh', 'Tiếng Tây Ban Nha']",2.1291201975912104
"Spoken Languages_['Tiếng Anh', 'Tiếng Bồ Đào Nha', 'Tiếng Tây Ban Nha']",2.097075221743816
"Production Countries_['Hungary', 'United States of America']",2.081578606657264
vote_count_log,2.021606552286949
Production Countries_['Japan'],1.9850847109877165
Spoken Languages_['Tiếng Tây Ban Nha'],1.9785437220489903
"Production Countries_['Canada', 'France']",1.9555805233200922
"Production Countries_['Hong Kong', 'Iceland', 'United States of America']",1.934162604116023
"Spoken Languages_['Tiếng Hàn', 'Tiếng Thổ Nhĩ Kỳ']",1.839835157686254
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh', 'Tiếng Ý', 'Tiếng Ba Tư', 'Tiếng Ba Lan', 'Tiếng Tây Ban Nha', 'Tiếng Thổ Nhĩ Kỳ']",1.803841922201266
"Production Countries_['Canada', 'France', 'United Kingdom', 'United States of America']",1.78534584623031
"Production Countries_['Australia', 'United Kingdom', 'United States of America']",1.7548614918181566
"Production Countries_['Mexico', 'United States of America']",1.7396022517939704
"Spoken Languages_['Tiếng Anh', 'Tiếng Hàn']",1.7333703487673853
"Production Countries_['Germany', 'India', 'United Kingdom', 'United States of America']",1.7102010237370178
"Production Countries_['Spain', 'United States of America']",1.709994726323962
"Spoken Languages_['Tiếng Anh', 'Tiếng Nga', 'Tiếng Hàn']",1.703246882477043
"Production Countries_['Belgium', 'China', 'France', 'Germany', 'United States of America']",1.6691069693838685
"Production Countries_['United States of America', 'Germany']",1.6522228475533298
"Production Countries_['France', 'United Kingdom', 'United States of America', 'Ireland']",1.6485773849946526
"Production Countries_['Australia', 'India', 'Singapore', 'United States of America']",1.6363973516730206
"Spoken Languages_['Tiếng Anh', 'Tiếng Ả Rập', 'Tiếng Hy Lạp', 'Tiếng Hindi', '', 'Tiếng Punjab', 'Tiếng Ba Tư', 'Tiếng Nga', 'Tiếng Urdu']",1.6363973516730206
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Pháp', 'Tiếng Kiswahili']",1.6214503803931435
"Production Countries_['France', 'United Kingdom', 'United States of America']",1.6148621994641292
"Spoken Languages_['Tiếng Nga', 'Tiếng Anh']",1.6133974191785079
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức', 'Tiếng Ý', 'Tiếng Ả Rập', 'Tiếng Tây Ban Nha']",1.5850308587470638
"Production Countries_['France', 'Singapore', 'Vietnam']",1.5785820295332695
"Production Countries_['United Arab Emirates', 'United States of America']",1.5702591050526606
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức', 'Lietuvių', 'Tiếng Nga']",1.567554820315832
"Spoken Languages_['Tiếng Đức', 'Hong Kong', 'Tiếng Anh', 'Tiếng Trung', 'Tiếng Nga']",1.5603735556459324
"Spoken Languages_['Tiếng Anh', 'Tiếng Trung', 'Tiếng Hàn']",1.5531952121103452
"Spoken Languages_['Tiếng Pháp', 'Tiếng Việt']",1.534952694165305
"Spoken Languages_['Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Nga']",1.5347893244509812
Production Countries_['United Kingdom'],1.5315553962524049
"Spoken Languages_['Tiếng Việt', 'Tiếng Anh']",1.5275473662963064
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật', 'Tiếng Việt']",1.5053466954799037
"Production Countries_['Norway', 'United States of America']",1.4989560595771472
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Tây Ban Nha', 'Tiếng Nga']",1.4967068350703654
"Production Countries_['Australia', 'Spain', 'United States of America']",1.4599240799333515
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Anh']",1.4583000109524555
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Nhật']",1.4563580776756737
budget_per_minute,1.4426146965230198
"Spoken Languages_['Tiếng Anh', 'Tiếng Châu Phi', 'Tiếng Tây Ban Nha']",1.4227065730119408
"Production Countries_['Bulgaria', 'France', 'United States of America']",1.4064452932450768
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Ý', 'Latin', 'Tiếng Tây Ban Nha']",1.4028497492057077
"Spoken Languages_['Hong Kong', 'Tiếng Trung']",1.396012860643761
"Production Countries_['Belgium', 'France']",1.393355632437574
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức', 'Tiếng Ý', 'Tiếng Nhật']",1.3912692336154016
Spoken Languages_['Tiếng Nhật'],1.387577794025645
"Spoken Languages_['Tiếng Anh', 'Latin']",1.3859687218380097
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức', 'Tiếng Nga']",1.360519813054179
"Production Countries_['Canada', 'China', 'Hungary', 'South Africa', 'United States of America']",1.344025265851333
"Spoken Languages_['Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Bồ Đào Nha']",1.338081852362232
"Spoken Languages_['Tiếng Anh', 'Tiếng Do Thái']",1.3374048920844233
"Production Countries_['United States of America', 'Canada']",1.329017405750722
"Production Countries_['Japan', 'United States of America']",1.3121410238132505
Production Countries_['Spain'],1.3026208100554606
"Production Countries_['China', 'Hungary', 'Spain', 'United States of America']",1.3011880167752463
"Production Countries_['Iceland', 'United States of America', 'United Kingdom']",1.2981994157950334
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Bồ Đào Nha', 'Tiếng Tây Ban Nha']",1.2916032041759475
"Spoken Languages_['Tiếng Anh', 'Tiếng Lào', 'Tiếng Trung', 'Hong Kong']",1.2735827066232415
"Spoken Languages_['Tiếng Anh', 'Tiếng Việt']",1.2667039538611962
"Spoken Languages_['Tiếng Trung', 'Tiếng Tây Ban Nha']",1.2612801525602628
"Production Countries_['Canada', 'United States of America', 'Australia']",1.242745719317684
"Spoken Languages_['Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Bungari']",1.2302424631652105
"Production Countries_['China', 'Hong Kong']",1.2251306230866614
"Production Countries_['China', 'France', 'Hong Kong', 'Taiwan']",1.2183988907198355
"Production Countries_['Canada', 'China', 'United States of America']",1.2161204700202548
"Spoken Languages_['Tiếng Anh', 'Tiếng Gruzia']",1.19376747748077
