feature,importance
Vote Average,0.6952441645340968
ROI,0.1935011516262396
Revenue,0.0332345593439585
Vote Count,0.030247542906701296
vote_count_log,0.019310009398729736
release_year,0.006680353624633502
Runtime,0.0046358958162326476
budget_vote_interaction,0.0032834584536382883
budget_per_minute,0.0029391891897174558
Budget,0.002811816155209967
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật']",0.0008964060673001423
release_month,0.0008314233667297249
release_weekday,0.0007411797037113699
Production Countries_['Vietnam'],0.0005314928655328803
release_season,0.00041100408865315944
Spoken Languages_['Tiếng Việt'],0.00034062314817978037
"Production Countries_['Canada', 'China', 'Hungary', 'South Africa', 'United States of America']",0.00032698664378764795
"Spoken Languages_['Tiếng Pháp', 'Tiếng Anh', 'Latin']",0.0002441645663161136
"Production Countries_['Canada', 'China', 'United States of America']",0.0002313414675148934
"Spoken Languages_['Tiếng Pháp', 'Tiếng Việt']",0.00022578495885887132
Spoken Languages_['Tiếng Tây Ban Nha'],0.00018928544394241408
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật', 'Tiếng Hàn']",0.0001817877146631038
"Spoken Languages_['Tiếng Anh', 'Tiếng Ý']",0.00017969945223301372
"Spoken Languages_['Tiếng Anh', 'Tiếng Hàn']",0.00017545597192021988
Production Countries_['United States of America'],0.00015776608482378685
"Spoken Languages_['Tiếng Anh', 'Tiếng Tây Ban Nha']",0.00015011688005991266
"Spoken Languages_['Hong Kong', 'Tiếng Trung', 'Tiếng Tây Ban Nha']",0.0001492284695409702
Spoken Languages_['Tiếng Mã Lai'],0.0001439247013241106
"Production Countries_['Bulgaria', 'France', 'United States of America']",0.00014229057333666587
Production Countries_['France'],0.00014062718380506196
"Spoken Languages_['Tiếng Anh', 'Tiếng Gruzia']",0.00013443320951520796
"Production Countries_['China', 'United Kingdom', 'United States of America']",0.00013152684569467816
"Production Countries_['Canada', 'United States of America', 'Australia']",0.0001271676229430294
Spoken Languages_['Tiếng Anh'],0.00012107382211527637
"Production Countries_['China', 'United States of America']",0.00011153635678229992
"Spoken Languages_['Hong Kong', 'Tiếng Trung', 'Tiếng Hàn', 'Tiếng Pháp', 'Tiếng Anh']",9.482067811660486e-05
Production Countries_['Malaysia'],8.98208421193992e-05
"Production Countries_['China', 'Germany', 'Japan', 'United Kingdom']",8.960003695012411e-05
"Spoken Languages_['Tiếng Trung', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Tây Ban Nha', 'Tiếng Hàn']",8.869384674283829e-05
"Spoken Languages_['Tiếng Anh', 'Tiếng Phần Lan', 'Tiếng Bồ Đào Nha']",8.672760710241215e-05
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp']",8.123210265153999e-05
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Nhật', 'Tiếng Nga', 'Tiếng Tây Ban Nha']",7.351652742059483e-05
"Spoken Languages_['Tiếng Nhật', 'Tiếng Pháp', 'Tiếng Nga', 'Tiếng Anh', 'Tiếng Ả Rập']",4.736871154349455e-05
"Production Countries_['Argentina', 'Chile', 'Mexico', 'Peru']",4.7170390800008345e-05
Spoken Languages_['Tiếng Na Uy'],4.683043073050008e-05
"Production Countries_['United States of America', 'Malaysia', 'Singapore']",4.607180857055055e-05
"Spoken Languages_['Tiếng Anh', 'Tiếng Ả Rập', 'Tiếng Hy Lạp', 'Tiếng Hindi', '', 'Tiếng Punjab', 'Tiếng Ba Tư', 'Tiếng Nga', 'Tiếng Urdu']",4.553656220322888e-05
"Spoken Languages_['Tiếng Hàn', 'Tiếng Thổ Nhĩ Kỳ']",4.379665753002954e-05
"Production Countries_['France', 'United Kingdom', 'United States of America']",4.376571211802925e-05
"Production Countries_['Germany', 'United States of America']",4.320452388066688e-05
Spoken Languages_[],4.258008370975093e-05
"Production Countries_['Canada', 'United States of America']",3.5687009745080406e-05
"Spoken Languages_['Tiếng Anh', 'Tiếng Bồ Đào Nha']",3.2441200324411996e-05
Spoken Languages_['Tiếng Hàn'],9.435553511310058e-06
Production Countries_['South Korea'],7.231455787222787e-06
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Nga', 'Tiếng Việt']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Nhật', 'Tiếng Hàn']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Nhật', 'Tiếng Kiswahili']",0.0
"Production Countries_['Bulgaria', 'Spain']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Bungari']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Thụy Điển']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Trung']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Ý', 'Latin', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Ý']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức', 'Lietuvių', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức', 'Tiếng Ý', 'Tiếng Nhật']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Tây Ban Nha', 'Hong Kong']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Ả Rập', 'Tiếng Albania']",0.0
"Production Countries_['Brazil', 'China', 'United States of America']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Trung']",0.0
"Production Countries_['Belgium', 'United States of America']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Phần Lan', 'Tiếng Hungary', 'Tiếng Nhật', 'Tiếng Nga', 'Tiếng Somali', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Somali']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Thụy Điển', 'Tiếng Lào']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Trung', 'Tiếng Hindi', 'Tiếng Đức', 'Tiếng Bồ Đào Nha', '']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Trung', 'Tiếng Hàn']",0.0
"Production Countries_['Belgium', 'United Kingdom', 'United States of America']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Trung', 'Tiếng Lào', 'Tiếng Việt']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Trung', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Trung', 'Tiếng Đức', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức', 'Tiếng Ý', 'Tiếng Ả Rập', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Lào', 'Tiếng Trung', 'Hong Kong']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Indonesia']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Iceland', 'Tiếng Tây Ban Nha']",0.0
"Production Countries_['Canada', 'France', 'United Kingdom', 'United States of America']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Hy Lạp', 'Tiếng Na Uy', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Hindi', 'Tiếng Ý', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Hindi', 'Tiếng Trung', 'Tiếng Bồ Đào Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Indonesia', 'Tiếng Ý', 'Tiếng Bồ Đào Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Gruzia', 'Tiếng Ý']",0.0
"Production Countries_['Canada', 'France']",0.0
"Production Countries_['Canada', 'Germany', 'United Kingdom', 'United States of America', 'Malaysia', 'Singapore']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Estonia']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Do Thái']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Do Thái', 'Tiếng Ý', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Châu Phi', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Bồ Đào Nha', 'Tiếng Tây Ban Nha']",0.0
"Production Countries_['Canada', 'France', 'United States of America']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Bồ Đào Nha', 'Tiếng Ý']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Hy Lạp', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Hindi', 'Tiếng Nhật', 'Tiếng Tamil']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', '', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật', 'Tiếng Việt']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật', 'Tiếng Lào', 'Tiếng Việt']",0.0
"Production Countries_['Canada', 'France', 'Germany', 'United States of America']",0.0
Production Countries_['Cambodia'],0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nhật', '']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nga']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nga', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Tiếng Anh', 'Tiếng Nga', 'Tiếng Hàn']",0.0
